Type,Name,Description,Price,Quantity,Image
Baking Products,Corn Syrup,Light,2.99,32 oz,https://i5.walmartimages.com/seo/Great-Value-Light-Corn-Syrup-16-fl-oz_1072d2fa-d88a-4172-aa29-03210a6e408b.90af8a962e99fdb8750ce0a22854b836.jpeg
Baking Products,Molasses,Blackstrap,3.49,12 oz,https://i5.walmartimages.com/asr/9c50641e-00a7-48ed-b84c-eeb10542c4ce.ddf5a519d7ae26d861545c584b7c82f5.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Baking Products,Shortening,Vegetable,4.99,48 oz,https://i5.walmartimages.com/seo/Crisco-All-Vegetable-Shortening-16-oz-Can_c83a5f4f-aaf7-4b2b-acb3-9898663cef75_1.39bec6632895edcf20404a78355428db.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Baking Products,Pie Crust,Pre-Made,3.49,"9""",https://i5.walmartimages.com/asr/f869b0e6-4dc1-403c-9df8-7d05bd68c8d6.394114653478b03c74df04f3838c14a6.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Herbs & Spices,Bay Leaves,Dried,1.79,0.12 oz,https://i5.walmartimages.com/seo/McCormick-Whole-Bay-Leaves-2-oz-Mixed-Spices-Seasonings_1dc67a79-dc3a-41b7-b237-e24e95347abc.89bdaeb2b3eef80a7a086110e160d020.jpeg
Herbs & Spices,Cayenne Pepper,Ground,1.49,1.75 oz,https://i5.walmartimages.com/seo/Great-Value-Organic-Cayenne-Pepper-1-7-oz_17bf60a1-9039-463a-ada8-252eaf5a30f2.5f13b3532acd8a4501f1bede4489f902.jpeg
Herbs & Spices,Coriander,Ground,2.99,2 oz,https://i5.walmartimages.com/asr/86b55d1d-64f1-4820-95db-5424c72cc079.cc2d5d4481c1af48d846cf54e793a7bc.jpeg
Vegetables,Radish,Red,0.99/bunch,,https://i5.walmartimages.com/seo/Fresh-Red-Radish-Bunch_ea0e9022-05d6-4e6a-ad18-633471a03a0b.0c926e45ad97705e24c87ed57f663122.jpeg
Herbs & Spices,Turmeric,Ground,2.49,1.38 oz,https://i5.walmartimages.com/seo/Great-Value-Organic-Ground-Turmeric-1-0-oz_02becb1a-c7c6-4731-940c-6dc1ed7f1f44.17def63a52675cb759118a4ca34d0606.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Herbs & Spices,Cardamom,Ground,4.99,2 oz,https://i5.walmartimages.com/seo/Slofoodgroup-Green-Cardamom-Pods-Cardamom-Spice-2-oz_c26aeb68-3fb6-408f-8ea9-ff04a3446556.94a083fe7ecb3a082a32c528e2d63747.jpeg
Pasta,Rigatoni,Pasta,1.29,16 oz,https://i5.walmartimages.com/asr/7969932f-28f3-4f48-9b9d-a87c39583ba8.b6ef170d4308c898cc464f394a0f442f.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
